home,away,home_mov,home_location,away_location
Memphis Grizzlies,Boston Celtics,-9,"[-90.0489801 35.1495343, 0]","[-71.0588801 42.3600825, 0]"
Milwaukee Bucks,Brooklyn Nets,14,"[-87.9064736 43.0389025, 0]","[-73.9441579 40.6781784, 0]"
New Orleans Pelicans,Houston Rockets,-4,"[-90.0715323 29.9510658, 0]","[-95.3698028 29.7604267, 0]"
Phoenix Suns,Denver Nuggets,-4,"[-112.0740373 33.4483771, 0]","[-104.990251 39.7392358, 0]"
Portland Trail Blazers,Golden State Warriors,-10,"[-122.6750261 45.5051064, 0]","[-122.4194155 37.7749295, 0]"
Utah Jazz,New York Knicks,32,"[-111.0937311 39.3209801, 0]","[-74.0059728 40.7127753, 0]"
Washington Wizards,Charlotte Hornets,4,"[-77.0368707 38.9071923, 0]","[-80.8431267 35.2270869, 0]"
Dallas Mavericks,Oklahoma City Thunder,2,"[-96.7969879 32.7766642, 0]","[-97.5164276 35.4675602, 0]"
Los Angeles Lakers,Sacramento Kings,7,"[-118.2436849 34.0522342, 0]","[-121.4943996 38.5815719, 0]"
Miami Heat,Minnesota Timberwolves,-9,"[-80.1917902 25.7616798, 0]","[-94.6858998 46.729553, 0]"
Orlando Magic,Detroit Pistons,2,"[-81.3792365 28.5383355, 0]","[-83.0457538 42.331427, 0]"
Portland Trail Blazers,Philadelphia 76ers,34,"[-122.6750261 45.5051064, 0]","[-75.1652215 39.9525839, 0]"
Toronto Raptors,Chicago Bulls,6,"[-79.3831843 43.653226, 0]","[-87.6297982 41.8781136, 0]"
Charlotte Hornets,Orlando Magic,25,"[-80.8431267 35.2270869, 0]","[-81.3792365 28.5383355, 0]"
Houston Rockets,Memphis Grizzlies,12,"[-95.3698028 29.7604267, 0]","[-90.0489801 35.1495343, 0]"
Indiana Pacers,Atlanta Hawks,8,"[-86.1349019 40.2671941, 0]","[-84.3879824 33.7489954, 0]"
New Orleans Pelicans,Minnesota Timberwolves,9,"[-90.0715323 29.9510658, 0]","[-94.6858998 46.729553, 0]"
Oklahoma City Thunder,Dallas Mavericks,20,"[-97.5164276 35.4675602, 0]","[-96.7969879 32.7766642, 0]"
Phoenix Suns,Golden State Warriors,-23,"[-112.0740373 33.4483771, 0]","[-122.4194155 37.7749295, 0]"
San Antonio Spurs,Boston Celtics,9,"[-98.4936282 29.4241219, 0]","[-71.0588801 42.3600825, 0]"
Denver Nuggets,New York Knicks,7,"[-104.990251 39.7392358, 0]","[-74.0059728 40.7127753, 0]"
Los Angeles Clippers,Philadelphia 76ers,-6,"[-118.2436849 34.0522342, 0]","[-75.1652215 39.9525839, 0]"
