home,away,home_mov,home_location,away_location
Phoenix Suns,Golden State Warriors,-10,"[-112.0740373 33.4483771, 0]","[-122.4194155 37.7749295, 0]"
Sacramento Kings,Miami Heat,6,"[-121.4943996 38.5815719, 0]","[-80.1917902 25.7616798, 0]"
Washington Wizards,Cleveland Cavaliers,13,"[-77.0368707 38.9071923, 0]","[-81.6943605 41.49932, 0]"
Atlanta Hawks,Charlotte Hornets,-9,"[-84.3879824 33.7489954, 0]","[-80.8431267 35.2270869, 0]"
Boston Celtics,Los Angeles Clippers,-11,"[-71.0588801 42.3600825, 0]","[-118.2436849 34.0522342, 0]"
Chicago Bulls,Washington Wizards,-9,"[-87.6297982 41.8781136, 0]","[-77.0368707 38.9071923, 0]"
Houston Rockets,Oklahoma City Thunder,-5,"[-95.3698028 29.7604267, 0]","[-97.5164276 35.4675602, 0]"
Indiana Pacers,Cleveland Cavaliers,15,"[-86.1349019 40.2671941, 0]","[-81.6943605 41.49932, 0]"
Memphis Grizzlies,New Orleans Pelicans,9,"[-90.0489801 35.1495343, 0]","[-90.0715323 29.9510658, 0]"
Milwaukee Bucks,Orlando Magic,-20,"[-87.9064736 43.0389025, 0]","[-81.3792365 28.5383355, 0]"
New York Knicks,Toronto Raptors,-5,"[-74.0059728 40.7127753, 0]","[-79.3831843 43.653226, 0]"
Utah Jazz,San Antonio Spurs,20,"[-111.0937311 39.3209801, 0]","[-98.4936282 29.4241219, 0]"
Atlanta Hawks,Orlando Magic,-16,"[-84.3879824 33.7489954, 0]","[-81.3792365 28.5383355, 0]"
Dallas Mavericks,Portland Trail Blazers,1,"[-96.7969879 32.7766642, 0]","[-122.6750261 45.5051064, 0]"
Golden State Warriors,Miami Heat,2,"[-122.4194155 37.7749295, 0]","[-80.1917902 25.7616798, 0]"
Philadelphia 76ers,Los Angeles Lakers,23,"[-75.1652215 39.9525839, 0]","[-118.2436849 34.0522342, 0]"
Sacramento Kings,Phoenix Suns,13,"[-121.4943996 38.5815719, 0]","[-112.0740373 33.4483771, 0]"
Chicago Bulls,Milwaukee Bucks,-13,"[-87.6297982 41.8781136, 0]","[-87.9064736 43.0389025, 0]"
Cleveland Cavaliers,New York Knicks,3,"[-81.6943605 41.49932, 0]","[-74.0059728 40.7127753, 0]"
Denver Nuggets,Miami Heat,16,"[-104.990251 39.7392358, 0]","[-80.1917902 25.7616798, 0]"
Detroit Pistons,Washington Wizards,9,"[-83.0457538 42.331427, 0]","[-77.0368707 38.9071923, 0]"
Houston Rockets,Dallas Mavericks,16,"[-95.3698028 29.7604267, 0]","[-96.7969879 32.7766642, 0]"
Indiana Pacers,Charlotte Hornets,9,"[-86.1349019 40.2671941, 0]","[-80.8431267 35.2270869, 0]"
Minnesota Timberwolves,Los Angeles Clippers,10,"[-94.6858998 46.729553, 0]","[-118.2436849 34.0522342, 0]"
Oklahoma City Thunder,Portland Trail Blazers,9,"[-97.5164276 35.4675602, 0]","[-122.6750261 45.5051064, 0]"
Toronto Raptors,Brooklyn Nets,2,"[-79.3831843 43.653226, 0]","[-73.9441579 40.6781784, 0]"
Atlanta Hawks,Los Angeles Lakers,4,"[-84.3879824 33.7489954, 0]","[-118.2436849 34.0522342, 0]"
Golden State Warriors,Utah Jazz,7,"[-122.4194155 37.7749295, 0]","[-111.0937311 39.3209801, 0]"
Memphis Grizzlies,San Antonio Spurs,-1,"[-90.0489801 35.1495343, 0]","[-98.4936282 29.4241219, 0]"
New Orleans Pelicans,Orlando Magic,-30,"[-90.0715323 29.9510658, 0]","[-81.3792365 28.5383355, 0]"
Philadelphia 76ers,Boston Celtics,-3,"[-75.1652215 39.9525839, 0]","[-71.0588801 42.3600825, 0]"
Boston Celtics,Detroit Pistons,8,"[-71.0588801 42.3600825, 0]","[-83.0457538 42.331427, 0]"
Chicago Bulls,Memphis Grizzlies,12,"[-87.6297982 41.8781136, 0]","[-90.0489801 35.1495343, 0]"
Cleveland Cavaliers,Brooklyn Nets,-9,"[-81.6943605 41.49932, 0]","[-73.9441579 40.6781784, 0]"
Dallas Mavericks,Miami Heat,-11,"[-96.7969879 32.7766642, 0]","[-80.1917902 25.7616798, 0]"
Denver Nuggets,Sacramento Kings,2,"[-104.990251 39.7392358, 0]","[-121.4943996 38.5815719, 0]"
Indiana Pacers,Milwaukee Bucks,-9,"[-86.1349019 40.2671941, 0]","[-87.9064736 43.0389025, 0]"
Los Angeles Clippers,Phoenix Suns,27,"[-118.2436849 34.0522342, 0]","[-112.0740373 33.4483771, 0]"
Minnesota Timberwolves,Houston Rockets,10,"[-94.6858998 46.729553, 0]","[-95.3698028 29.7604267, 0]"
New York Knicks,Philadelphia 76ers,-15,"[-74.0059728 40.7127753, 0]","[-75.1652215 39.9525839, 0]"
Portland Trail Blazers,Golden State Warriors,22,"[-122.6750261 45.5051064, 0]","[-122.4194155 37.7749295, 0]"
Toronto Raptors,Washington Wizards,9,"[-79.3831843 43.653226, 0]","[-77.0368707 38.9071923, 0]"
Atlanta Hawks,New York Knicks,-15,"[-84.3879824 33.7489954, 0]","[-74.0059728 40.7127753, 0]"
New Orleans Pelicans,Oklahoma City Thunder,9,"[-90.0715323 29.9510658, 0]","[-97.5164276 35.4675602, 0]"
Orlando Magic,Charlotte Hornets,38,"[-81.3792365 28.5383355, 0]","[-80.8431267 35.2270869, 0]"
Brooklyn Nets,Portland Trail Blazers,-14,"[-73.9441579 40.6781784, 0]","[-122.6750261 45.5051064, 0]"
Cleveland Cavaliers,Phoenix Suns,13,"[-81.6943605 41.49932, 0]","[-112.0740373 33.4483771, 0]"
Golden State Warriors,Sacramento Kings,2,"[-122.4194155 37.7749295, 0]","[-121.4943996 38.5815719, 0]"
Los Angeles Lakers,Houston Rockets,5,"[-118.2436849 34.0522342, 0]","[-95.3698028 29.7604267, 0]"
Milwaukee Bucks,Boston Celtics,1,"[-87.9064736 43.0389025, 0]","[-71.0588801 42.3600825, 0]"
Philadelphia 76ers,Miami Heat,4,"[-75.1652215 39.9525839, 0]","[-80.1917902 25.7616798, 0]"
Atlanta Hawks,Detroit Pistons,-3,"[-84.3879824 33.7489954, 0]","[-83.0457538 42.331427, 0]"
Charlotte Hornets,Washington Wizards,13,"[-80.8431267 35.2270869, 0]","[-77.0368707 38.9071923, 0]"
Dallas Mavericks,Denver Nuggets,-10,"[-96.7969879 32.7766642, 0]","[-104.990251 39.7392358, 0]"
Indiana Pacers,New Orleans Pelicans,15,"[-86.1349019 40.2671941, 0]","[-90.0715323 29.9510658, 0]"
Memphis Grizzlies,Los Angeles Clippers,-6,"[-90.0489801 35.1495343, 0]","[-118.2436849 34.0522342, 0]"
New York Knicks,Minnesota Timberwolves,-11,"[-74.0059728 40.7127753, 0]","[-94.6858998 46.729553, 0]"
Oklahoma City Thunder,Utah Jazz,1,"[-97.5164276 35.4675602, 0]","[-111.0937311 39.3209801, 0]"
Orlando Magic,Chicago Bulls,-1,"[-81.3792365 28.5383355, 0]","[-87.6297982 41.8781136, 0]"
Toronto Raptors,San Antonio Spurs,3,"[-79.3831843 43.653226, 0]","[-98.4936282 29.4241219, 0]"
Atlanta Hawks,Phoenix Suns,8,"[-84.3879824 33.7489954, 0]","[-112.0740373 33.4483771, 0]"
Chicago Bulls,Boston Celtics,10,"[-87.6297982 41.8781136, 0]","[-71.0588801 42.3600825, 0]"
Charlotte Hornets,Brooklyn Nets,-2,"[-80.8431267 35.2270869, 0]","[-73.9441579 40.6781784, 0]"
Cleveland Cavaliers,Memphis Grizzlies,5,"[-81.6943605 41.49932, 0]","[-90.0489801 35.1495343, 0]"
Golden State Warriors,Houston Rockets,-6,"[-122.4194155 37.7749295, 0]","[-95.3698028 29.7604267, 0]"
Miami Heat,Detroit Pistons,-23,"[-80.1917902 25.7616798, 0]","[-83.0457538 42.331427, 0]"
Milwaukee Bucks,Minnesota Timberwolves,12,"[-87.9064736 43.0389025, 0]","[-94.6858998 46.729553, 0]"
New Orleans Pelicans,Los Angeles Lakers,13,"[-90.0715323 29.9510658, 0]","[-118.2436849 34.0522342, 0]"
Oklahoma City Thunder,Sacramento Kings,-3,"[-97.5164276 35.4675602, 0]","[-121.4943996 38.5815719, 0]"
Philadelphia 76ers,Portland Trail Blazers,-15,"[-75.1652215 39.9525839, 0]","[-122.6750261 45.5051064, 0]"
Utah Jazz,Dallas Mavericks,16,"[-111.0937311 39.3209801, 0]","[-96.7969879 32.7766642, 0]"
Washington Wizards,Indiana Pacers,-7,"[-77.0368707 38.9071923, 0]","[-86.1349019 40.2671941, 0]"
Denver Nuggets,Los Angeles Clippers,27,"[-104.990251 39.7392358, 0]","[-118.2436849 34.0522342, 0]"
New York Knicks,San Antonio Spurs,12,"[-74.0059728 40.7127753, 0]","[-98.4936282 29.4241219, 0]"
Toronto Raptors,Orlando Magic,-15,"[-79.3831843 43.653226, 0]","[-81.3792365 28.5383355, 0]"
Brooklyn Nets,San Antonio Spurs,16,"[-73.9441579 40.6781784, 0]","[-98.4936282 29.4241219, 0]"
Chicago Bulls,Milwaukee Bucks,-11,"[-87.6297982 41.8781136, 0]","[-87.9064736 43.0389025, 0]"
Charlotte Hornets,Golden State Warriors,-11,"[-80.8431267 35.2270869, 0]","[-122.4194155 37.7749295, 0]"
Cleveland Cavaliers,Portland Trail Blazers,-13,"[-81.6943605 41.49932, 0]","[-122.6750261 45.5051064, 0]"
Detroit Pistons,Indiana Pacers,4,"[-83.0457538 42.331427, 0]","[-86.1349019 40.2671941, 0]"
Houston Rockets,Atlanta Hawks,8,"[-95.3698028 29.7604267, 0]","[-84.3879824 33.7489954, 0]"
Los Angeles Clippers,Dallas Mavericks,9,"[-118.2436849 34.0522342, 0]","[-96.7969879 32.7766642, 0]"
Memphis Grizzlies,Los Angeles Lakers,5,"[-90.0489801 35.1495343, 0]","[-118.2436849 34.0522342, 0]"
Miami Heat,Phoenix Suns,-3,"[-80.1917902 25.7616798, 0]","[-112.0740373 33.4483771, 0]"
Minnesota Timberwolves,Sacramento Kings,7,"[-94.6858998 46.729553, 0]","[-121.4943996 38.5815719, 0]"
New Orleans Pelicans,Philadelphia 76ers,-1,"[-90.0715323 29.9510658, 0]","[-75.1652215 39.9525839, 0]"
Denver Nuggets,Oklahoma City Thunder,9,"[-104.990251 39.7392358, 0]","[-97.5164276 35.4675602, 0]"
New York Knicks,Orlando Magic,5,"[-74.0059728 40.7127753, 0]","[-81.3792365 28.5383355, 0]"
Toronto Raptors,Boston Celtics,23,"[-79.3831843 43.653226, 0]","[-71.0588801 42.3600825, 0]"
Atlanta Hawks,Minnesota Timberwolves,8,"[-84.3879824 33.7489954, 0]","[-94.6858998 46.729553, 0]"
Boston Celtics,Portland Trail Blazers,-5,"[-71.0588801 42.3600825, 0]","[-122.6750261 45.5051064, 0]"
Brooklyn Nets,Washington Wizards,-9,"[-73.9441579 40.6781784, 0]","[-77.0368707 38.9071923, 0]"
Charlotte Hornets,Houston Rockets,-5,"[-80.8431267 35.2270869, 0]","[-95.3698028 29.7604267, 0]"
Dallas Mavericks,Indiana Pacers,9,"[-96.7969879 32.7766642, 0]","[-86.1349019 40.2671941, 0]"
Los Angeles Lakers,New Orleans Pelicans,6,"[-118.2436849 34.0522342, 0]","[-90.0715323 29.9510658, 0]"
Memphis Grizzlies,Chicago Bulls,-2,"[-90.0489801 35.1495343, 0]","[-87.6297982 41.8781136, 0]"
Miami Heat,Golden State Warriors,1,"[-80.1917902 25.7616798, 0]","[-122.4194155 37.7749295, 0]"
Sacramento Kings,Milwaukee Bucks,-1,"[-121.4943996 38.5815719, 0]","[-87.9064736 43.0389025, 0]"
San Antonio Spurs,Detroit Pistons,12,"[-98.4936282 29.4241219, 0]","[-83.0457538 42.331427, 0]"
Utah Jazz,Los Angeles Clippers,6,"[-111.0937311 39.3209801, 0]","[-118.2436849 34.0522342, 0]"
Denver Nuggets,Utah Jazz,-7,"[-104.990251 39.7392358, 0]","[-111.0937311 39.3209801, 0]"
Houston Rockets,Miami Heat,3,"[-95.3698028 29.7604267, 0]","[-80.1917902 25.7616798, 0]"
Indiana Pacers,Minnesota Timberwolves,7,"[-86.1349019 40.2671941, 0]","[-94.6858998 46.729553, 0]"
New York Knicks,Cleveland Cavaliers,-7,"[-74.0059728 40.7127753, 0]","[-81.6943605 41.49932, 0]"
Oklahoma City Thunder,Philadelphia 76ers,-4,"[-97.5164276 35.4675602, 0]","[-75.1652215 39.9525839, 0]"
Orlando Magic,Golden State Warriors,7,"[-81.3792365 28.5383355, 0]","[-122.4194155 37.7749295, 0]"
Atlanta Hawks,Chicago Bulls,-7,"[-84.3879824 33.7489954, 0]","[-87.6297982 41.8781136, 0]"
Boston Celtics,Washington Wizards,11,"[-71.0588801 42.3600825, 0]","[-77.0368707 38.9071923, 0]"
Brooklyn Nets,Charlotte Hornets,-11,"[-73.9441579 40.6781784, 0]","[-80.8431267 35.2270869, 0]"
Los Angeles Lakers,Milwaukee Bucks,-11,"[-118.2436849 34.0522342, 0]","[-87.9064736 43.0389025, 0]"
Phoenix Suns,New Orleans Pelicans,-14,"[-112.0740373 33.4483771, 0]","[-90.0715323 29.9510658, 0]"
Sacramento Kings,Los Angeles Clippers,-7,"[-121.4943996 38.5815719, 0]","[-118.2436849 34.0522342, 0]"
Toronto Raptors,Portland Trail Blazers,2,"[-79.3831843 43.653226, 0]","[-122.6750261 45.5051064, 0]"
Cleveland Cavaliers,Detroit Pistons,-36,"[-81.6943605 41.49932, 0]","[-83.0457538 42.331427, 0]"
Dallas Mavericks,Memphis Grizzlies,-30,"[-96.7969879 32.7766642, 0]","[-90.0489801 35.1495343, 0]"
Denver Nuggets,New Orleans Pelicans,-8,"[-104.990251 39.7392358, 0]","[-90.0715323 29.9510658, 0]"
Indiana Pacers,Orlando Magic,-5,"[-86.1349019 40.2671941, 0]","[-81.3792365 28.5383355, 0]"
Miami Heat,Brooklyn Nets,29,"[-80.1917902 25.7616798, 0]","[-73.9441579 40.6781784, 0]"
Philadelphia 76ers,Golden State Warriors,-3,"[-75.1652215 39.9525839, 0]","[-122.4194155 37.7749295, 0]"
Phoenix Suns,Los Angeles Lakers,9,"[-112.0740373 33.4483771, 0]","[-118.2436849 34.0522342, 0]"
San Antonio Spurs,Oklahoma City Thunder,14,"[-98.4936282 29.4241219, 0]","[-97.5164276 35.4675602, 0]"
Utah Jazz,Milwaukee Bucks,4,"[-111.0937311 39.3209801, 0]","[-87.9064736 43.0389025, 0]"
Boston Celtics,Houston Rockets,-11,"[-71.0588801 42.3600825, 0]","[-95.3698028 29.7604267, 0]"
Chicago Bulls,Atlanta Hawks,-5,"[-87.6297982 41.8781136, 0]","[-84.3879824 33.7489954, 0]"
Charlotte Hornets,Portland Trail Blazers,-10,"[-80.8431267 35.2270869, 0]","[-122.6750261 45.5051064, 0]"
Cleveland Cavaliers,Orlando Magic,14,"[-81.6943605 41.49932, 0]","[-81.3792365 28.5383355, 0]"
Detroit Pistons,Toronto Raptors,5,"[-83.0457538 42.331427, 0]","[-79.3831843 43.653226, 0]"
Los Angeles Clippers,New York Knicks,21,"[-118.2436849 34.0522342, 0]","[-74.0059728 40.7127753, 0]"
Oklahoma City Thunder,Memphis Grizzlies,4,"[-97.5164276 35.4675602, 0]","[-90.0489801 35.1495343, 0]"
Washington Wizards,Minnesota Timberwolves,14,"[-77.0368707 38.9071923, 0]","[-94.6858998 46.729553, 0]"
Brooklyn Nets,Dallas Mavericks,39,"[-73.9441579 40.6781784, 0]","[-96.7969879 32.7766642, 0]"
Los Angeles Lakers,Los Angeles Clippers,-8,"[-118.2436849 34.0522342, 0]","[-118.2436849 34.0522342, 0]"
Miami Heat,Atlanta Hawks,1,"[-80.1917902 25.7616798, 0]","[-84.3879824 33.7489954, 0]"
Phoenix Suns,Milwaukee Bucks,9,"[-112.0740373 33.4483771, 0]","[-87.9064736 43.0389025, 0]"
Sacramento Kings,New York Knicks,7,"[-121.4943996 38.5815719, 0]","[-74.0059728 40.7127753, 0]"
San Antonio Spurs,Denver Nuggets,1,"[-98.4936282 29.4241219, 0]","[-104.990251 39.7392358, 0]"
Utah Jazz,New Orleans Pelicans,-3,"[-111.0937311 39.3209801, 0]","[-90.0715323 29.9510658, 0]"
Golden State Warriors,Boston Celtics,-33,"[-122.4194155 37.7749295, 0]","[-71.0588801 42.3600825, 0]"
Indiana Pacers,Chicago Bulls,9,"[-86.1349019 40.2671941, 0]","[-87.6297982 41.8781136, 0]"
Memphis Grizzlies,Portland Trail Blazers,9,"[-90.0489801 35.1495343, 0]","[-122.6750261 45.5051064, 0]"
Minnesota Timberwolves,Oklahoma City Thunder,11,"[-94.6858998 46.729553, 0]","[-97.5164276 35.4675602, 0]"
Philadelphia 76ers,Orlando Magic,8,"[-75.1652215 39.9525839, 0]","[-81.3792365 28.5383355, 0]"
Toronto Raptors,Houston Rockets,-12,"[-79.3831843 43.653226, 0]","[-95.3698028 29.7604267, 0]"
Atlanta Hawks,San Antonio Spurs,-7,"[-84.3879824 33.7489954, 0]","[-98.4936282 29.4241219, 0]"
Brooklyn Nets,Cleveland Cavaliers,6,"[-73.9441579 40.6781784, 0]","[-81.6943605 41.49932, 0]"
Chicago Bulls,Philadelphia 76ers,1,"[-87.6297982 41.8781136, 0]","[-75.1652215 39.9525839, 0]"
Charlotte Hornets,Miami Heat,-7,"[-80.8431267 35.2270869, 0]","[-80.1917902 25.7616798, 0]"
Detroit Pistons,Minnesota Timberwolves,17,"[-83.0457538 42.331427, 0]","[-94.6858998 46.729553, 0]"
Los Angeles Lakers,Denver Nuggets,-16,"[-118.2436849 34.0522342, 0]","[-104.990251 39.7392358, 0]"
New Orleans Pelicans,Utah Jazz,-10,"[-90.0715323 29.9510658, 0]","[-111.0937311 39.3209801, 0]"
Phoenix Suns,New York Knicks,11,"[-112.0740373 33.4483771, 0]","[-74.0059728 40.7127753, 0]"
Sacramento Kings,Boston Celtics,-2,"[-121.4943996 38.5815719, 0]","[-71.0588801 42.3600825, 0]"
Washington Wizards,Dallas Mavericks,9,"[-77.0368707 38.9071923, 0]","[-96.7969879 32.7766642, 0]"
Milwaukee Bucks,Indiana Pacers,19,"[-87.9064736 43.0389025, 0]","[-86.1349019 40.2671941, 0]"
Portland Trail Blazers,Oklahoma City Thunder,-8,"[-122.6750261 45.5051064, 0]","[-97.5164276 35.4675602, 0]"
Chicago Bulls,Detroit Pistons,-8,"[-87.6297982 41.8781136, 0]","[-83.0457538 42.331427, 0]"
Charlotte Hornets,Washington Wizards,1,"[-80.8431267 35.2270869, 0]","[-77.0368707 38.9071923, 0]"
Golden State Warriors,Denver Nuggets,17,"[-122.4194155 37.7749295, 0]","[-104.990251 39.7392358, 0]"
Houston Rockets,Philadelphia 76ers,16,"[-95.3698028 29.7604267, 0]","[-75.1652215 39.9525839, 0]"
Los Angeles Clippers,Oklahoma City Thunder,8,"[-118.2436849 34.0522342, 0]","[-97.5164276 35.4675602, 0]"
Memphis Grizzlies,Utah Jazz,10,"[-90.0489801 35.1495343, 0]","[-111.0937311 39.3209801, 0]"
Miami Heat,Cleveland Cavaliers,16,"[-80.1917902 25.7616798, 0]","[-81.6943605 41.49932, 0]"
New Orleans Pelicans,Toronto Raptors,-23,"[-90.0715323 29.9510658, 0]","[-79.3831843 43.653226, 0]"
Orlando Magic,Dallas Mavericks,5,"[-81.3792365 28.5383355, 0]","[-96.7969879 32.7766642, 0]"
Atlanta Hawks,Brooklyn Nets,-2,"[-84.3879824 33.7489954, 0]","[-73.9441579 40.6781784, 0]"
Los Angeles Lakers,Boston Celtics,-13,"[-118.2436849 34.0522342, 0]","[-71.0588801 42.3600825, 0]"
Milwaukee Bucks,Charlotte Hornets,17,"[-87.9064736 43.0389025, 0]","[-80.8431267 35.2270869, 0]"
Minnesota Timberwolves,Washington Wizards,5,"[-94.6858998 46.729553, 0]","[-77.0368707 38.9071923, 0]"
New York Knicks,Sacramento Kings,-8,"[-74.0059728 40.7127753, 0]","[-121.4943996 38.5815719, 0]"
Portland Trail Blazers,Phoenix Suns,7,"[-122.6750261 45.5051064, 0]","[-112.0740373 33.4483771, 0]"
Atlanta Hawks,New Orleans Pelicans,12,"[-84.3879824 33.7489954, 0]","[-90.0715323 29.9510658, 0]"
Dallas Mavericks,Houston Rockets,-1,"[-96.7969879 32.7766642, 0]","[-95.3698028 29.7604267, 0]"
Detroit Pistons,Chicago Bulls,23,"[-83.0457538 42.331427, 0]","[-87.6297982 41.8781136, 0]"
Golden State Warriors,Phoenix Suns,-4,"[-122.4194155 37.7749295, 0]","[-112.0740373 33.4483771, 0]"
Memphis Grizzlies,Orlando Magic,8,"[-90.0489801 35.1495343, 0]","[-81.3792365 28.5383355, 0]"
Miami Heat,Toronto Raptors,-21,"[-80.1917902 25.7616798, 0]","[-79.3831843 43.653226, 0]"
Minnesota Timberwolves,New York Knicks,11,"[-94.6858998 46.729553, 0]","[-74.0059728 40.7127753, 0]"
Philadelphia 76ers,Indiana Pacers,17,"[-75.1652215 39.9525839, 0]","[-86.1349019 40.2671941, 0]"
San Antonio Spurs,Milwaukee Bucks,7,"[-98.4936282 29.4241219, 0]","[-87.9064736 43.0389025, 0]"
Brooklyn Nets,Detroit Pistons,28,"[-73.9441579 40.6781784, 0]","[-83.0457538 42.331427, 0]"
Cleveland Cavaliers,Toronto Raptors,25,"[-81.6943605 41.49932, 0]","[-79.3831843 43.653226, 0]"
Houston Rockets,Charlotte Hornets,12,"[-95.3698028 29.7604267, 0]","[-80.8431267 35.2270869, 0]"
Los Angeles Clippers,Boston Celtics,25,"[-118.2436849 34.0522342, 0]","[-71.0588801 42.3600825, 0]"
Utah Jazz,Oklahoma City Thunder,-9,"[-111.0937311 39.3209801, 0]","[-97.5164276 35.4675602, 0]"
Washington Wizards,Sacramento Kings,6,"[-77.0368707 38.9071923, 0]","[-121.4943996 38.5815719, 0]"
Chicago Bulls,Los Angeles Lakers,-16,"[-87.6297982 41.8781136, 0]","[-118.2436849 34.0522342, 0]"
Dallas Mavericks,San Antonio Spurs,-7,"[-96.7969879 32.7766642, 0]","[-98.4936282 29.4241219, 0]"
Denver Nuggets,Minnesota Timberwolves,26,"[-104.990251 39.7392358, 0]","[-94.6858998 46.729553, 0]"
Indiana Pacers,New York Knicks,5,"[-86.1349019 40.2671941, 0]","[-74.0059728 40.7127753, 0]"
Los Angeles Clippers,Portland Trail Blazers,-21,"[-118.2436849 34.0522342, 0]","[-122.6750261 45.5051064, 0]"
New Orleans Pelicans,Milwaukee Bucks,-17,"[-90.0715323 29.9510658, 0]","[-87.9064736 43.0389025, 0]"
Philadelphia 76ers,Cleveland Cavaliers,7,"[-75.1652215 39.9525839, 0]","[-81.6943605 41.49932, 0]"
Atlanta Hawks,Memphis Grizzlies,21,"[-84.3879824 33.7489954, 0]","[-90.0489801 35.1495343, 0]"
Houston Rockets,Golden State Warriors,-2,"[-95.3698028 29.7604267, 0]","[-122.4194155 37.7749295, 0]"
Miami Heat,Detroit Pistons,34,"[-80.1917902 25.7616798, 0]","[-83.0457538 42.331427, 0]"
Oklahoma City Thunder,Brooklyn Nets,12,"[-97.5164276 35.4675602, 0]","[-73.9441579 40.6781784, 0]"
Phoenix Suns,Utah Jazz,-17,"[-112.0740373 33.4483771, 0]","[-111.0937311 39.3209801, 0]"
Washington Wizards,Orlando Magic,10,"[-77.0368707 38.9071923, 0]","[-81.3792365 28.5383355, 0]"
Boston Celtics,Sacramento Kings,6,"[-71.0588801 42.3600825, 0]","[-121.4943996 38.5815719, 0]"
Denver Nuggets,Dallas Mavericks,1,"[-104.990251 39.7392358, 0]","[-96.7969879 32.7766642, 0]"
Indiana Pacers,Oklahoma City Thunder,2,"[-86.1349019 40.2671941, 0]","[-97.5164276 35.4675602, 0]"
Orlando Magic,Cleveland Cavaliers,29,"[-81.3792365 28.5383355, 0]","[-81.6943605 41.49932, 0]"
Toronto Raptors,Los Angeles Lakers,13,"[-79.3831843 43.653226, 0]","[-118.2436849 34.0522342, 0]"
Utah Jazz,Minnesota Timberwolves,20,"[-111.0937311 39.3209801, 0]","[-94.6858998 46.729553, 0]"
Detroit Pistons,Los Angeles Lakers,14,"[-83.0457538 42.331427, 0]","[-118.2436849 34.0522342, 0]"
Houston Rockets,Phoenix Suns,6,"[-95.3698028 29.7604267, 0]","[-112.0740373 33.4483771, 0]"
Los Angeles Clippers,Chicago Bulls,7,"[-118.2436849 34.0522342, 0]","[-87.6297982 41.8781136, 0]"
Miami Heat,Milwaukee Bucks,-15,"[-80.1917902 25.7616798, 0]","[-87.9064736 43.0389025, 0]"
New Orleans Pelicans,Portland Trail Blazers,-12,"[-90.0715323 29.9510658, 0]","[-122.6750261 45.5051064, 0]"
Philadelphia 76ers,Sacramento Kings,9,"[-75.1652215 39.9525839, 0]","[-121.4943996 38.5815719, 0]"
San Antonio Spurs,New York Knicks,26,"[-98.4936282 29.4241219, 0]","[-74.0059728 40.7127753, 0]"
Washington Wizards,Charlotte Hornets,-6,"[-77.0368707 38.9071923, 0]","[-80.8431267 35.2270869, 0]"
Boston Celtics,Atlanta Hawks,9,"[-71.0588801 42.3600825, 0]","[-84.3879824 33.7489954, 0]"
Dallas Mavericks,Cleveland Cavaliers,5,"[-96.7969879 32.7766642, 0]","[-81.6943605 41.49932, 0]"
Denver Nuggets,Indiana Pacers,2,"[-104.990251 39.7392358, 0]","[-86.1349019 40.2671941, 0]"
New Orleans Pelicans,Phoenix Suns,-2,"[-90.0715323 29.9510658, 0]","[-112.0740373 33.4483771, 0]"
Oklahoma City Thunder,Golden State Warriors,-22,"[-97.5164276 35.4675602, 0]","[-122.4194155 37.7749295, 0]"
San Antonio Spurs,Portland Trail Blazers,5,"[-98.4936282 29.4241219, 0]","[-122.6750261 45.5051064, 0]"
Utah Jazz,Brooklyn Nets,16,"[-111.0937311 39.3209801, 0]","[-73.9441579 40.6781784, 0]"
Washington Wizards,Memphis Grizzlies,7,"[-77.0368707 38.9071923, 0]","[-90.0489801 35.1495343, 0]"
Detroit Pistons,Toronto Raptors,3,"[-83.0457538 42.331427, 0]","[-79.3831843 43.653226, 0]"
Houston Rockets,Minnesota Timberwolves,15,"[-95.3698028 29.7604267, 0]","[-94.6858998 46.729553, 0]"
Los Angeles Clippers,Brooklyn Nets,3,"[-118.2436849 34.0522342, 0]","[-73.9441579 40.6781784, 0]"
Miami Heat,Charlotte Hornets,18,"[-80.1917902 25.7616798, 0]","[-80.8431267 35.2270869, 0]"
Milwaukee Bucks,Philadelphia 76ers,-5,"[-87.9064736 43.0389025, 0]","[-75.1652215 39.9525839, 0]"
New York Knicks,Los Angeles Lakers,1,"[-74.0059728 40.7127753, 0]","[-118.2436849 34.0522342, 0]"
Orlando Magic,Atlanta Hawks,10,"[-81.3792365 28.5383355, 0]","[-84.3879824 33.7489954, 0]"
Sacramento Kings,Chicago Bulls,27,"[-121.4943996 38.5815719, 0]","[-87.6297982 41.8781136, 0]"
Boston Celtics,Denver Nuggets,-9,"[-71.0588801 42.3600825, 0]","[-104.990251 39.7392358, 0]"
Cleveland Cavaliers,Detroit Pistons,7,"[-81.6943605 41.49932, 0]","[-83.0457538 42.331427, 0]"
Dallas Mavericks,New Orleans Pelicans,-4,"[-96.7969879 32.7766642, 0]","[-90.0715323 29.9510658, 0]"
Oklahoma City Thunder,Miami Heat,-9,"[-97.5164276 35.4675602, 0]","[-80.1917902 25.7616798, 0]"
Phoenix Suns,Chicago Bulls,-15,"[-112.0740373 33.4483771, 0]","[-87.6297982 41.8781136, 0]"
Portland Trail Blazers,Indiana Pacers,8,"[-122.6750261 45.5051064, 0]","[-86.1349019 40.2671941, 0]"
San Antonio Spurs,Golden State Warriors,6,"[-98.4936282 29.4241219, 0]","[-122.4194155 37.7749295, 0]"
